Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,02/07/2020 14:03,22112,618,867
Guangdong,Mainland China,02/07/2020 10:13,1034,1,88
Zhejiang,Mainland China,02/07/2020 11:33,1006,0,123
Henan,Mainland China,02/07/2020 14:03,914,3,86
Hunan,Mainland China,02/07/2020 11:33,772,0,112
Anhui,Mainland China,02/07/2020 05:13,665,0,47
Jiangxi,Mainland China,02/07/2020 01:23,661,0,45
Chongqing,Mainland China,02/07/2020 12:03,415,2,31
Jiangsu,Mainland China,02/07/2020 14:03,408,0,43
Shandong,Mainland China,02/07/2020 11:33,386,0,37
Sichuan,Mainland China,02/07/2020 08:23,344,1,42
Beijing,Mainland China,02/07/2020 03:23,297,1,33
Heilongjiang,Mainland China,02/07/2020 07:43,277,3,12
Shanghai,Mainland China,02/07/2020 06:14,277,1,30
Fujian,Mainland China,02/07/2020 13:23,224,0,20
Shaanxi,Mainland China,02/07/2020 08:23,184,0,17
Guangxi,Mainland China,02/07/2020 00:33,172,0,17
Hebei,Mainland China,02/07/2020 12:03,172,1,22
Yunnan,Mainland China,02/07/2020 23:23,138,0,12
Hainan,Mainland China,02/07/2020 12:33,117,2,10
Liaoning,Mainland China,02/07/2020 15:33,99,0,7
Shanxi,Mainland China,02/07/2020 12:33,96,0,15
Guizhou,Mainland China,02/07/2020 11:13,81,1,6
Tianjin,Mainland China,02/07/2020 05:43,81,1,2
Gansu,Mainland China,02/07/2020 02:33,67,0,9
Jilin,Mainland China,02/07/2020 00:43,65,1,4
Cruise Ship,Others,02/07/2020 16:33,61,0,0
Inner Mongolia,Mainland China,02/07/2020 11:13,50,0,5
Ningxia,Mainland China,02/07/2020 11:13,43,0,5
Xinjiang,Mainland China,02/07/2020 01:43,39,0,0
,Singapore,02/07/2020 03:03,30,0,0
Hong Kong,Hong Kong,02/07/2020 11:53,25,1,0
,Japan,02/07/2020 04:13,25,0,1
,Thailand,02/04/2020 15:33,25,0,5
,South Korea,02/07/2020 03:03,24,0,1
Qinghai,Mainland China,02/06/2020 02:13,18,0,3
Taiwan,Taiwan,02/06/2020 15:03,16,0,1
,Germany,02/07/2020 16:33,13,0,0
,Malaysia,02/07/2020 09:13,12,0,1
Macau,Macau,02/06/2020 14:23,10,0,1
,Vietnam,02/06/2020 01:13,10,0,1
,France,02/01/2020 01:52,6,0,0
Queensland,Australia,02/07/2020 01:03,5,0,0
,United Arab Emirates,02/02/2020 05:43,5,0,0
New South Wales,Australia,02/06/2020 03:13,4,0,2
Victoria,Australia,02/01/2020 18:12,4,0,0
British Columbia,Canada,02/07/2020 05:43,4,0,0
,India,02/03/2020 21:43,3,0,0
,Italy,02/07/2020 17:53,3,0,0
,Philippines,02/07/2020 16:43,3,1,0
,UK,02/07/2020 18:33,3,0,0
South Australia,Australia,02/02/2020 22:33,2,0,0
"Toronto, ON",Canada,02/04/2020 00:13,2,0,0
,Russia,1/31/20 16:13,2,0,0
"Chicago, IL",US,02/01/2020 19:43,2,0,0
"San Benito, CA",US,02/03/2020 03:53,2,0,0
"Santa Clara, CA",US,02/03/2020 00:43,2,0,0
,Belgium,02/04/2020 15:43,1,0,0
,Cambodia,1/31/20 8:15,1,0,0
"London, ON",Canada,02/04/2020 00:03,1,0,0
,Finland,1/31/20 8:15,1,0,0
Tibet,Mainland China,02/01/2020 01:52,1,0,0
,Nepal,1/31/20 8:15,1,0,0
,Spain,02/01/2020 23:43,1,0,0
,Sri Lanka,1/31/20 8:15,1,0,0
,Sweden,02/01/2020 02:13,1,0,0
"Boston, MA",US,02/01/2020 19:43,1,0,0
"Los Angeles, CA",US,02/01/2020 19:53,1,0,0
"Madison, WI",US,02/05/2020 21:53,1,0,0
"Orange, CA",US,02/01/2020 19:53,1,0,0
"Seattle, WA",US,02/01/2020 19:43,1,0,0
"Tempe, AZ",US,02/01/2020 19:43,1,0,0
