Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,02/06/2020 23:23,22112,618,817
Guangdong,Mainland China,02/06/2020 12:43,970,0,69
Zhejiang,Mainland China,02/06/2020 10:53,954,0,94
Henan,Mainland China,02/06/2020 11:23,851,2,56
Hunan,Mainland China,02/06/2020 13:13,711,0,81
Jiangxi,Mainland China,02/06/2020 02:33,600,0,37
Anhui,Mainland China,02/06/2020 13:33,591,0,34
Chongqing,Mainland China,02/06/2020 23:33,411,2,24
Jiangsu,Mainland China,02/06/2020 08:03,373,0,34
Shandong,Mainland China,02/06/2020 07:53,347,0,27
Sichuan,Mainland China,02/07/2020 00:53,344,1,37
Beijing,Mainland China,02/06/2020 03:23,274,1,31
Shanghai,Mainland China,02/07/2020 00:03,269,1,25
Heilongjiang,Mainland China,02/06/2020 08:13,227,3,8
Fujian,Mainland China,02/06/2020 11:03,215,0,14
Shaanxi,Mainland China,02/06/2020 13:53,173,0,9
Guangxi,Mainland China,02/07/2020 00:33,172,0,17
Hebei,Mainland China,02/07/2020 00:43,171,1,16
Yunnan,Mainland China,02/06/2020 09:43,133,0,7
Hainan,Mainland China,02/07/2020 00:03,106,2,8
Shanxi,Mainland China,02/06/2020 23:03,96,0,12
Liaoning,Mainland China,02/06/2020 14:33,94,0,5
Tianjin,Mainland China,02/06/2020 23:43,79,1,2
Guizhou,Mainland China,02/06/2020 09:53,71,1,6
Jilin,Mainland China,02/07/2020 00:43,65,1,4
Gansu,Mainland China,02/05/2020 16:23,62,0,6
Inner Mongolia,Mainland China,02/06/2020 02:23,46,0,4
,Japan,02/06/2020 02:53,45,0,1
Ningxia,Mainland China,02/06/2020 02:13,40,0,1
Xinjiang,Mainland China,02/06/2020 01:13,36,0,0
,Singapore,02/05/2020 16:33,28,0,0
,Thailand,02/04/2020 15:33,25,0,5
Hong Kong,Hong Kong,02/06/2020 14:43,24,1,0
,South Korea,02/06/2020 02:53,23,0,0
Qinghai,Mainland China,02/06/2020 02:13,18,0,3
Taiwan,Taiwan,02/06/2020 15:03,16,0,1
,Germany,02/03/2020 20:53,12,0,0
,Malaysia,02/05/2020 15:43,12,0,0
Macau,Macau,02/06/2020 14:23,10,0,1
,Vietnam,02/06/2020 01:13,10,0,1
,France,02/01/2020 01:52,6,0,0
,United Arab Emirates,02/02/2020 05:43,5,0,0
New South Wales,Australia,02/06/2020 03:13,4,0,2
Queensland,Australia,02/06/2020 02:53,4,0,0
Victoria,Australia,02/01/2020 18:12,4,0,0
,India,02/03/2020 21:43,3,0,0
South Australia,Australia,02/02/2020 22:33,2,0,0
British Columbia,Canada,02/05/2020 17:33,2,0,0
"Toronto, ON",Canada,02/04/2020 00:13,2,0,0
,Italy,1/31/20 8:15,2,0,0
,Philippines,02/02/2020 03:33,2,1,0
,Russia,1/31/20 16:13,2,0,0
,UK,02/01/2020 01:52,2,0,0
"Chicago, IL",US,02/01/2020 19:43,2,0,0
"San Benito, CA",US,02/03/2020 03:53,2,0,0
"Santa Clara, CA",US,02/03/2020 00:43,2,0,0
,Belgium,02/04/2020 15:43,1,0,0
,Cambodia,1/31/20 8:15,1,0,0
"London, ON",Canada,02/04/2020 00:03,1,0,0
,Finland,1/31/20 8:15,1,0,0
Tibet,Mainland China,02/01/2020 01:52,1,0,0
,Nepal,1/31/20 8:15,1,0,0
,Spain,02/01/2020 23:43,1,0,0
,Sri Lanka,1/31/20 8:15,1,0,0
,Sweden,02/01/2020 02:13,1,0,0
"Boston, MA",US,02/01/2020 19:43,1,0,0
"Los Angeles, CA",US,02/01/2020 19:53,1,0,0
"Madison, WI",US,02/05/2020 21:53,1,0,0
"Orange, CA",US,02/01/2020 19:53,1,0,0
"Seattle, WA",US,02/01/2020 19:43,1,0,0
"Tempe, AZ",US,02/01/2020 19:43,1,0,0
